NLuc,CLuc,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample
AtMLO2,AtEXO70A1,1,1,21298.60,21.76,978.94,918.85,0.12,AtMLO2-AtCAM2
AtMLO2,MmExoc7,1,1,20820.50,30.92,673.42,613.33,0.08,AtMLO2-AtCAM2
AtMLO2,ScExo70,1,1,8484.20,21.76,389.96,329.87,0.04,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,1,1,3394.10,21.76,156.00,95.91,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,1,1,5518.40,21.76,253.64,193.55,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,1,1,12452.40,21.76,572.35,512.26,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,1,1,1150.30,21.76,52.87,-7.22,0.00,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,1,74395.88,9.54,7796.34,7736.25,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,1,2,4696.20,21.76,215.85,186.24,0.02,AtMLO2-AtCAM2
AtMLO2,MmExoc7,1,2,193534.36,46.19,4190.39,4160.78,0.50,AtMLO2-AtCAM2
AtMLO2,ScExo70,1,2,28821.86,46.19,624.05,594.43,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,1,2,1331.25,30.92,43.06,13.44,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,1,2,198125.88,62.98,3145.86,3116.25,0.37,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,1,2,82428.25,62.98,1308.80,1279.19,0.15,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,1,2,1321.00,46.19,28.60,-1.01,0.00,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,2,389259.29,46.19,8428.22,8398.60,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,1,3,32490.25,62.98,515.88,495.56,0.14,AtMLO2-AtCAM2
AtMLO2,MmExoc7,1,3,83378.36,46.19,1805.30,1784.98,0.50,AtMLO2-AtCAM2
AtMLO2,ScExo70,1,3,3473.00,30.92,112.33,92.01,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,1,3,618.71,46.19,13.40,-6.93,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,1,3,81676.75,30.92,2641.77,2621.45,0.74,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,1,3,48191.80,21.76,2215.03,2194.71,0.62,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,1,3,23653.57,46.19,512.15,491.82,0.14,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,3,225024.25,62.98,3572.95,3552.63,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,1,4,580.86,46.19,12.58,11.39,0.00,AtMLO2-AtCAM2
AtMLO2,MmExoc7,1,4,13582.07,46.19,294.08,292.89,0.03,AtMLO2-AtCAM2
AtMLO2,ScExo70,1,4,13367.36,46.19,289.43,288.24,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,1,4,42321.14,46.19,916.33,915.15,0.09,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,1,4,155795.00,78.25,1991.05,1989.86,0.20,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,1,4,73957.44,62.98,1174.30,1173.12,0.12,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,1,4,15.21,46.19,0.33,-0.86,0.00,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,4,637306.13,62.98,10119.20,10118.01,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,1,1,1433.00,29.22,49.05,-6.83,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,1,1,4282.75,29.22,146.59,90.71,0.04,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,1,1,20177.07,43.64,462.32,406.44,0.16,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,1,1,74103.60,20.56,3604.39,3548.51,1.43,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,1,1,13003.30,20.56,632.48,576.60,0.23,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,1,1,30173.00,29.22,1032.76,976.89,0.39,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,1,1,36936.50,29.22,1264.26,1208.39,0.49,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,1,110802.21,43.64,2538.81,2482.93,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,1,2,10644.50,29.22,364.34,155.24,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,1,2,11590.07,43.64,265.56,56.46,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,1,2,52155.80,20.56,2536.85,2327.75,0.47,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,1,2,29354.36,43.64,672.60,463.49,0.09,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,1,2,8940.43,43.64,204.85,-4.25,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,1,2,16757.00,43.64,383.95,174.85,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,1,2,53145.75,29.22,1819.08,1609.97,0.32,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,2,309869.63,59.51,5206.70,4997.59,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,1,3,4175.29,43.64,95.67,-16.02,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,1,3,35815.79,43.64,820.65,708.96,0.19,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,1,3,14162.64,43.64,324.51,212.82,0.06,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,1,3,35463.19,59.51,595.88,484.20,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,1,3,40852.86,43.64,936.06,824.37,0.22,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,1,3,58353.10,20.56,2838.29,2726.60,0.74,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,1,3,17062.07,43.64,390.94,279.26,0.08,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,3,164915.86,43.64,3778.72,3667.03,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,1,4,6217.00,43.64,142.45,-4.10,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,1,4,8772.36,43.64,201.00,54.45,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,1,4,29250.50,43.64,670.22,523.67,0.17,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,1,4,21791.07,43.64,499.30,352.75,0.12,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,1,4,29793.43,43.64,682.66,536.11,0.18,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,1,4,32527.71,43.64,745.31,598.76,0.20,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,1,4,46336.50,59.51,778.59,632.04,0.21,AtMLO2-AtCAM2
AtMLO2,AtCAM2,1,4,233952.28,73.94,3164.03,3017.48,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,2,1,13800.00,43.64,316.20,-12.15,0.00,AtMLO2-AtCAM2
AtMLO2,MmExoc7,2,1,670734.35,97.03,6912.98,6584.64,0.86,AtMLO2-AtCAM2
AtMLO2,ScExo70,2,1,42569.31,59.51,715.29,386.94,0.05,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,2,1,58142.64,43.64,1332.22,1003.88,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,2,1,498653.56,73.94,6743.92,6415.57,0.84,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,2,1,80256.13,59.51,1348.53,1020.19,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,2,1,29144.94,59.51,489.72,161.37,0.02,AtMLO2-AtCAM2
AtMLO2,AtCAM2,2,1,592085.11,73.94,8007.51,7679.16,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,2,2,-1266.69,59.51,-21.28,439.14,0.02,AtMLO2-AtCAM2
AtMLO2,MmExoc7,2,2,377313.39,73.94,5102.88,5563.31,0.26,AtMLO2-AtCAM2
AtMLO2,ScExo70,2,2,-14417.50,29.22,-493.48,-33.05,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,2,2,135817.43,43.64,3111.98,3572.41,0.17,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,2,2,3528.86,43.64,80.86,541.29,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,2,2,31770.64,43.64,727.96,1188.39,0.06,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,2,2,13486.86,43.64,309.02,769.45,0.04,AtMLO2-AtCAM2
AtMLO2,AtCAM2,2,2,1251117.88,59.51,21022.36,21482.78,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,2,3,-23085.36,43.64,-528.95,-43.89,-0.01,AtMLO2-AtCAM2
AtMLO2,MmExoc7,2,3,136753.86,43.64,3133.44,3618.50,0.83,AtMLO2-AtCAM2
AtMLO2,ScExo70,2,3,4281.43,43.64,98.10,583.16,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,2,3,15669.86,43.64,359.04,844.10,0.19,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,2,3,22641.79,43.64,518.79,1003.85,0.23,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,2,3,80354.86,43.64,1841.17,2326.23,0.53,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,2,3,14346.14,43.64,328.71,813.77,0.19,AtMLO2-AtCAM2
AtMLO2,AtCAM2,2,3,285903.00,73.94,3866.62,4351.68,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,2,4,-4244.86,43.64,-97.26,79.43,0.03,AtMLO2-AtCAM2
AtMLO2,MmExoc7,2,4,9939.36,43.64,227.74,404.43,0.15,AtMLO2-AtCAM2
AtMLO2,ScExo70,2,4,49954.64,43.64,1144.61,1321.30,0.48,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,2,4,-3518.29,43.64,-80.61,96.08,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,2,4,-7972.36,43.64,-182.67,-5.98,0.00,AtMLO2-AtCAM2
