"ID","NLuc","CLuc","CLuc_Sample","p_shapiro","p_levene","Letters","mean","sd"
1,"AtMLO1","AtEXO70A1","A",0.550358993377714,0.354685069318891,"a",0.118695652173913,0.169686993872035
2,"AtMLO1","AtEXO70B2","B",0.317821428236596,0.354685069318891,"ab",0.167391304347826,0.185109731370939
3,"AtMLO1","AtEXO70D2","C",0.709621094015737,0.354685069318891,"ab",0.241739130434783,0.257411099815646
4,"AtMLO1","AtEXO70D3","D",0.122471529420588,0.354685069318891,"ab",0.191363636363636,0.21911717792619
5,"AtMLO1","AtEXO70E2","E",0.992802382492852,0.354685069318891,"a",0.0268181818181818,0.0355080626171368
6,"AtMLO1","AtEXO70G1","F",0.0405913725383348,0.354685069318891,"a",0.125238095238095,0.222004933450116
7,"AtMLO1","AtEXO70H1","G",0.936153885002784,0.354685069318891,"b",0.5,0.479517301153215
8,"AtMLO1","AtEXO70H2","H",0.006744102999253,0.354685069318891,"ab",0.187727272727273,0.325048447937371
9,"AtMLO1","AtEXO70H4","I",0.00021115890557207,0.354685069318891,"ab",0.203636363636364,0.398240719911552
10,"AtMLO1","AtEXO70H7","J",0.00831889718352112,0.354685069318891,"ab",0.228636363636364,0.298269540206033
11,"AtMLO12","AtEXO70A1","A",0.652208506013951,0.0784070060242798,"a",0.0927272727272727,0.127510291580227
12,"AtMLO12","AtEXO70B2","B",0.646160871874591,0.0784070060242798,"ab",0.255217391304348,0.335069457727762
13,"AtMLO12","AtEXO70D2","C",0.628313950991359,0.0784070060242798,"a",0.118636363636364,0.149612052434843
14,"AtMLO12","AtEXO70D3","D",0.0823109194744384,0.0784070060242798,"a",0.209090909090909,0.221830245928408
15,"AtMLO12","AtEXO70E2","E",0.281089080953248,0.0784070060242798,"a",0.151818181818182,0.135493326619585
16,"AtMLO12","AtEXO70G1","F",0.960565199746056,0.0784070060242798,"a",0.166086956521739,0.245444663832711
17,"AtMLO12","AtEXO70H1","G",0.583842119733193,0.0784070060242798,"b",0.5455,0.377616834482006
18,"AtMLO12","AtEXO70H2","H",0.678577753654477,0.0784070060242798,"ab",0.294782608695652,0.353062826822358
19,"AtMLO12","AtEXO70H4","I",0.189113229096882,0.0784070060242798,"ab",0.362173913043478,0.411217223305497
20,"AtMLO12","AtEXO70H7","J",0.244190232297069,0.0784070060242798,"ab",0.389090909090909,0.345514234989076
21,"AtMLO2","AtEXO70A1","A",0.987840492704375,0.477993041435587,"a",0.0520833333333333,0.0633128303960076
22,"AtMLO2","AtEXO70B2","B",0.455221975187392,0.477993041435587,"ab",0.222083333333333,0.221359027013989
23,"AtMLO2","AtEXO70D2","C",0.998493397137685,0.477993041435587,"b",0.311666666666667,0.250506732820509
24,"AtMLO2","AtEXO70D3","D",0.964686490642814,0.477993041435587,"ab",0.244583333333333,0.176141720773647
25,"AtMLO2","AtEXO70E2","E",0.234457692747559,0.477993041435587,"ab",0.0958333333333333,0.0920263037381712
26,"AtMLO2","AtEXO70G1","F",0.0411908021061535,0.477993041435587,"ab",0.0954166666666667,0.176437676314296
27,"AtMLO2","AtEXO70H1","G",0.253607389089491,0.477993041435587,"c",0.846086956521739,0.5459332221105
28,"AtMLO2","AtEXO70H2","H",0.0113729063251063,0.477993041435587,"ab",0.2225,0.183427512041986
29,"AtMLO2","AtEXO70H4","I",0.0963682908978866,0.477993041435587,"ab",0.234583333333333,0.265558953852086
30,"AtMLO2","AtEXO70H7","J",0.10134727574913,0.477993041435587,"b",0.32875,0.340757627749644
31,"AtMLO3","AtEXO70A1","A",0.47043324593725,0.0136653034775902,"a",0.0669565217391304,0.0865203487682993
32,"AtMLO3","AtEXO70B2","B",0.176722041419652,0.0136653034775902,"a",0.100434782608696,0.118416762513881
33,"AtMLO3","AtEXO70D2","C",0.182719877419933,0.0136653034775902,"a",0.08,0.129895062541758
34,"AtMLO3","AtEXO70D3","D",0.121754037029,0.0136653034775902,"a",0.110434782608696,0.137426947895619
35,"AtMLO3","AtEXO70E2","E",0.271070051402224,0.0136653034775902,"a",0.0934782608695652,0.109237385194404
36,"AtMLO3","AtEXO70G1","F",0.0479400372053126,0.0136653034775902,"a",0.06125,0.0813105961328427
37,"AtMLO3","AtEXO70H1","G",0.980777437727672,0.0136653034775902,"b",0.643181818181818,0.375758108154908
38,"AtMLO3","AtEXO70H2","H",0.770698817974306,0.0136653034775902,"a",0.203478260869565,0.160471144266789
39,"AtMLO3","AtEXO70H4","I",0.0694711927516495,0.0136653034775902,"ac",0.277826086956522,0.317604049117467
40,"AtMLO3","AtEXO70H7","J",0.982587949632674,0.0136653034775902,"c",0.414166666666667,0.319373253987116
41,"AtMLO4","AtEXO70A1","A",0.2265608962485,0.00728911401910254,"a",0.0621739130434783,0.0819621044218901
42,"AtMLO4","AtEXO70B2","B",0.467434753438422,0.00728911401910254,"a",0.0533333333333333,0.0530517931235428
43,"AtMLO4","AtEXO70D2","C",0.332393923533106,0.00728911401910254,"a",0.125652173913043,0.160420642713759
44,"AtMLO4","AtEXO70D3","D",0.948006093418035,0.00728911401910254,"a",0.22125,0.241090141900782
45,"AtMLO4","AtEXO70E2","E",0.858163252552231,0.00728911401910254,"a",0.0704347826086957,0.0802540432778972
46,"AtMLO4","AtEXO70G1","F",0.349319956421158,0.00728911401910254,"a",0.075,0.104797942230047
47,"AtMLO4","AtEXO70H1","G",0.00314662334149658,0.00728911401910254,"a",0.1175,0.197467663836056
48,"AtMLO4","AtEXO70H2","H",0.570745615831472,0.00728911401910254,"a",0.05625,0.0625412907084453
49,"AtMLO4","AtEXO70H4","I",0.378741528985005,0.00728911401910254,"a",0.189166666666667,0.250979241592099
50,"AtMLO4","AtEXO70H7","J",0.209353038677979,0.00728911401910254,"a",0.0921739130434783,0.0921933009664097
51,"AtMLO6","AtEXO70A1","A",0.249673647835686,0.0921104660778084,"a",0.159565217391304,0.219430632254345
52,"AtMLO6","AtEXO70B2","B",0.150227592720031,0.0921104660778084,"ab",0.316521739130435,0.367777213882785
53,"AtMLO6","AtEXO70D2","C",0.628682494336201,0.0921104660778084,"a",0.147391304347826,0.143407156893306
54,"AtMLO6","AtEXO70D3","D",0.0632321565013471,0.0921104660778084,"ab",0.361739130434783,0.468601906777569
55,"AtMLO6","AtEXO70E2","E",0.198224389958374,0.0921104660778084,"a",0.217391304347826,0.245842103637576
56,"AtMLO6","AtEXO70G1","F",0.611800482773332,0.0921104660778084,"a",0.0954166666666667,0.129949126054463
