"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.276633580376506,0.910448397171913,0.221749755610595,0.76357981924124,0.695727725775511,0.00183759666975105,0.0409647511305079,0.0304366265056762,0.000887048496175613
"B",0.276633580376506,1,0.250929394588536,0.867665605542665,0.431715372660377,0.137032340453437,0.0326848159707031,0.33675369167117,0.272808869332055,0.0182484433189459
"C",0.910448397171913,0.250929394588536,1,0.193392771286925,0.709367161294712,0.750276789195555,0.00182853776038206,0.0326848159707031,0.0263449026421854,0.000815460705933488
"D",0.221749755610595,0.867665605542665,0.193392771286925,1,0.33675369167117,0.0888756332112353,0.0467835415144212,0.431715372660377,0.33675369167117,0.0280054315311615
"E",0.76357981924124,0.431715372660377,0.709367161294712,0.33675369167117,1,0.431715372660377,0.00510687892678859,0.0888756332112353,0.0599072508423275,0.00183759666975105
"F",0.695727725775511,0.137032340453437,0.750276789195555,0.0888756332112353,0.431715372660377,1,0.000815460705933488,0.0163693394025039,0.010537518408602,0.000572110381370295
"G",0.00183759666975105,0.0326848159707031,0.00182853776038206,0.0467835415144212,0.00510687892678859,0.000815460705933488,1,0.226656972440483,0.276633580376506,0.867665605542665
"H",0.0409647511305079,0.33675369167117,0.0326848159707031,0.431715372660377,0.0888756332112353,0.0163693394025039,0.226656972440483,1,0.867665605542665,0.152693513466095
"I",0.0304366265056762,0.272808869332055,0.0263449026421854,0.33675369167117,0.0599072508423275,0.010537518408602,0.276633580376506,0.867665605542665,1,0.205806816919935
"J",0.000887048496175613,0.0182484433189459,0.000815460705933488,0.0280054315311615,0.00183759666975105,0.000572110381370295,0.867665605542665,0.152693513466095,0.205806816919935,1
