"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.720356894860203,0.0563949188752656,0.000719767970772793,0.744578219103626,0.751779292109295,1.4078904832332e-05,0.210790234756035,0.000717020696086433,0.049153695588912
"B",0.720356894860203,1,0.119280309163955,0.0021817981859176,0.970073603049518,0.476377705281786,3.38294375530548e-05,0.429437177639157,0.00210576144964269,0.119280309163955
"C",0.0563949188752656,0.119280309163955,1,0.119280309163955,0.119280309163955,0.023922400460903,0.0028731667595836,0.476377705281786,0.119280309163955,0.970073603049518
"D",0.000719767970772793,0.0021817981859176,0.119280309163955,1,0.00210576144964269,0.000305702012880169,0.119280309163955,0.023922400460903,0.970073603049518,0.120344442617603
"E",0.744578219103626,0.970073603049518,0.119280309163955,0.00210576144964269,1,0.491714642903072,3.38294375530548e-05,0.408521099681783,0.00210576144964269,0.116056823940171
"F",0.751779292109295,0.476377705281786,0.023922400460903,0.000305702012880169,0.491714642903072,1,7.66912538011054e-06,0.119280309163955,0.000305702012880169,0.0231755936403346
"G",1.4078904832332e-05,3.38294375530548e-05,0.0028731667595836,0.119280309163955,3.38294375530548e-05,7.66912538011054e-06,1,0.000452183677141962,0.120344442617603,0.00334856569469259
"H",0.210790234756035,0.429437177639157,0.476377705281786,0.023922400460903,0.408521099681783,0.119280309163955,0.000452183677141962,1,0.023922400460903,0.450874841111607
"I",0.000717020696086433,0.00210576144964269,0.119280309163955,0.970073603049518,0.00210576144964269,0.000305702012880169,0.120344442617603,0.023922400460903,1,0.119280309163955
"J",0.049153695588912,0.119280309163955,0.970073603049518,0.120344442617603,0.116056823940171,0.0231755936403346,0.00334856569469259,0.450874841111607,0.119280309163955,1
