ID,NLuc,CLuc_Sample,Experiment,mean,sd
1,AtMLO1,A,1,0.1825,0.21013884299037464
2,AtMLO1,A,2,0.16,0.27712812921102037
3,AtMLO1,A,3,0.08,0.153405779986718
4,AtMLO1,A,4,0.015,0.012909944487358056
5,AtMLO1,A,5,0.08,0.12884098726725127
6,AtMLO1,A,6,0.205,0.20024984394500786
7,AtMLO1,B,1,0.2475,0.12148388096094614
8,AtMLO1,B,2,0.19333333333333333,0.2573583752927682
9,AtMLO1,B,3,0.225,0.36391390923312256
10,AtMLO1,B,4,0.085,0.04203173404306164
11,AtMLO1,B,5,0.1725,0.12284814474246922
12,AtMLO1,B,6,0.0875,0.10874281585465773
13,AtMLO1,C,1,0.11750000000000001,0.10242883708539635
14,AtMLO1,C,2,0.5066666666666667,0.525959440768329
15,AtMLO1,C,3,0.16749999999999998,0.15305227865013968
16,AtMLO1,C,4,0.07250000000000001,0.053150729063673255
17,AtMLO1,C,5,0.295,0.19672315572906002
18,AtMLO1,C,6,0.3575,0.26094379982415117
19,AtMLO1,D,1,0.48333333333333334,0.16441816606851367
20,AtMLO1,D,2,0.10666666666666666,0.09073771725877465
21,AtMLO1,D,3,0.1625,0.15861378670636841
22,AtMLO1,D,4,0.2575,0.3892193040776198
23,AtMLO1,D,5,0.0675,0.041932485418030414
24,AtMLO1,D,6,0.12250000000000001,0.08958236433584459
25,AtMLO1,E,1,0.05,0.0721110255092798
26,AtMLO1,E,2,0.02,0.02
27,AtMLO1,E,3,0.03,0.02160246899469287
28,AtMLO1,E,4,0.005,0.005773502691896258
29,AtMLO1,E,5,0.035,0.05066228051190221
30,AtMLO1,E,6,0.024999999999999998,0.026457513110645904
31,AtMLO1,F,1,0.15000000000000002,0.1131370849898476
32,AtMLO1,F,2,0.07333333333333333,0.0057735026918962545
33,AtMLO1,F,3,0.095,0.15022205785658332
34,AtMLO1,F,4,0.0975,0.1625576820700886
35,AtMLO1,F,5,0.255,0.49020403915104577
36,AtMLO1,F,6,0.08,0.0668331255192114
37,AtMLO1,G,1,0.9,1.0040916292848976
38,AtMLO1,G,2,0.25,0.3551056180912941
39,AtMLO1,G,3,0.5025,0.5002249493977684
40,AtMLO1,G,4,0.10666666666666666,0.09865765724632494
41,AtMLO1,G,5,0.6950000000000001,0.44530888156424636
42,AtMLO1,G,6,0.5850000000000001,0.44373415464667587
43,AtMLO1,H,1,0.6233333333333333,0.7801495583113108
44,AtMLO1,H,2,0.13,0.12529964086141668
45,AtMLO1,H,3,0.06,0.01414213562373095
46,AtMLO1,H,4,0.18250000000000002,0.24797513316190936
47,AtMLO1,H,5,0.07,0.040824829046386304
48,AtMLO1,H,6,0.155,0.1588500340992514
49,AtMLO1,I,1,0.8266666666666667,0.9603298044595582
50,AtMLO1,I,2,0.06333333333333334,0.03214550253664319
51,AtMLO1,I,3,0.135,0.10754843869934452
52,AtMLO1,I,4,0.11,0.09416297927883689
53,AtMLO1,I,5,0.11,0.09273618495495704
54,AtMLO1,I,6,0.0975,0.114418821295566
55,AtMLO1,J,1,0.5299999999999999,0.7450503338701352
56,AtMLO1,J,2,0.16,0.0888819441731559
57,AtMLO1,J,3,0.24,0.26470108928122427
58,AtMLO1,J,4,0.1625,0.20155644370746376
59,AtMLO1,J,5,0.1375,0.11236102527122116
60,AtMLO1,J,6,0.2,0.10198039027185571
61,AtMLO12,A,1,0.0525,0.051234753829797995
62,AtMLO12,A,2,0.1,0.0692820323027551
63,AtMLO12,A,3,0.13,0.08831760866327847
64,AtMLO12,A,4,0.20750000000000002,0.24743686063317244
65,AtMLO12,A,5,0.013333333333333334,0.03214550253664318
66,AtMLO12,A,6,0.034999999999999996,0.07681145747868608
67,AtMLO12,B,1,0.08750000000000001,0.13098982148752375
68,AtMLO12,B,2,0.46499999999999997,0.3116087290176576
69,AtMLO12,B,3,0.405,0.6061078011927141
70,AtMLO12,B,4,0.3433333333333333,0.23115651263447742
71,AtMLO12,B,5,0.24500000000000002,0.298942580885806
72,AtMLO12,B,6,0.007500000000000001,0.029860788111948196
73,AtMLO12,C,1,0.0675,0.07804912982645397
74,AtMLO12,C,2,0,0
75,AtMLO12,C,3,0.195,0.099498743710662
76,AtMLO12,C,4,0.255,0.26888659319497504
77,AtMLO12,C,5,0.049999999999999996,0.06244997998398398
78,AtMLO12,C,6,0.0975,0.10177589760514684
79,AtMLO12,D,1,0.0875,0.023629078131263036
80,AtMLO12,D,2,0.25333333333333335,0.08082903768654763
81,AtMLO12,D,3,0.175,0.023804761428476172
82,AtMLO12,D,4,0.525,0.3770499524819844
83,AtMLO12,D,5,0.07,0.08717797887081348
84,AtMLO12,D,6,0.12000000000000001,0.07438637868140466
85,AtMLO12,E,1,0.065,0.034156502553198666
86,AtMLO12,E,2,0.24333333333333335,0.17009801096230764
87,AtMLO12,E,3,0.10250000000000001,0.09069178573608527
88,AtMLO12,E,4,0.255,0.20566963801203134
89,AtMLO12,E,5,0.09666666666666666,0.14224392195567914
90,AtMLO12,E,6,0.1575,0.07135591542869214
91,AtMLO12,F,1,0.04,0.03915780041490243
92,AtMLO12,F,2,0.24250000000000002,0.3689060404312549
93,AtMLO12,F,3,0.1275,0.2106141812256082
94,AtMLO12,F,4,0.19,0.12529964086141668
95,AtMLO12,F,5,0.3,0.42481368465089103
96,AtMLO12,F,6,0.10250000000000001,0.08958236433584459
97,AtMLO12,G,1,0.355,0.21361959960016152
98,AtMLO12,G,2,0.67,0.3535533905932738
99,AtMLO12,G,3,0.64,0.25119713374160946
100,AtMLO12,G,4,0.4666666666666667,0.32005207909547057
101,AtMLO12,G,5,0.735,0.7106100665390737
102,AtMLO12,G,6,0.4725,0.2676284738214527
103,AtMLO12,H,1,0.0125,0.01707825127659933
104,AtMLO12,H,2,0.34500000000000003,0.23515952032609694
105,AtMLO12,H,3,0.6175,0.54932534379303255
106,AtMLO12,H,4,0.5266666666666666,0.5002332789142815
107,AtMLO12,H,5,0.17,0.1453730832490435
108,AtMLO12,H,6,0.155,0.14059397805975427
109,AtMLO12,I,1,0.11750000000000001,0.2283819899495872
110,AtMLO12,I,2,0.1925,0.139134227756269
111,AtMLO12,I,3,0.655,0.6154943812362005
112,AtMLO12,I,4,0.7999999999999999,0.41146081222881964
113,AtMLO12,I,5,0.3375,0.42601838770957606
114,AtMLO12,I,6,0.18,0.1614517471774978
115,AtMLO12,J,1,0.145,0.1759734828508735
116,AtMLO12,J,2,0.54,0.4793745925682754
117,AtMLO12,J,3,0.5599999999999999,0.49568134925574914
118,AtMLO12,J,4,0.5833333333333334,0.2400694344004112
119,AtMLO12,J,5,0.23,0.2092844953645635
120,AtMLO12,J,6,0.3675,0.34315934102590495
121,AtMLO2,A,1,0.07,0.07023769168568493
122,AtMLO2,A,2,0.01,0.018257418583505537
123,AtMLO2,A,3,0.095,0.11239810200058244
124,AtMLO2,A,4,0.0375,0.06184658438426491
125,AtMLO2,A,5,0.0475,0.020615528128088305
126,AtMLO2,A,6,0.052500000000000005,0.055
127,AtMLO2,B,1,0.215,0.17710637105046972
128,AtMLO2,B,2,0.2125,0.13865424623862047
129,AtMLO2,B,3,0.1225,0.13301002468485848
130,AtMLO2,B,4,0.1575,0.16760568804985904
131,AtMLO2,B,5,0.245,0.11902380714238084
132,AtMLO2,B,6,0.38,0.4606517122512409
133,AtMLO2,C,1,0.335,0.30358963530836597
134,AtMLO2,C,2,0.275,0.39025632602175714
135,AtMLO2,C,3,0.2375,0.10210288928331068
136,AtMLO2,C,4,0.1525,0.06849574196011506
137,AtMLO2,C,5,0.385,0.226642155537461
138,AtMLO2,C,6,0.485,0.2816025568065745
139,AtMLO2,D,1,0.24,0.25547341675146296
140,AtMLO2,D,2,0.275,0.2185558662371401
141,AtMLO2,D,3,0.26,0.1930457631409368
142,AtMLO2,D,4,0.13,0.07164728420068227
143,AtMLO2,D,5,0.2025,0.17613914953808538
144,AtMLO2,D,6,0.36,0.11045361017187261
145,AtMLO2,E,1,0.035,0.07
146,AtMLO2,E,2,0.0825,0.07588368291888141
147,AtMLO2,E,3,0.1075,0.13671747023210554
148,AtMLO2,E,4,0.0825,0.059090326337452787
149,AtMLO2,E,5,0.0775,0.0704154339142587
150,AtMLO2,E,6,0.19,0.09626352718795766
151,AtMLO2,F,1,0.065,0.08426149773176358
152,AtMLO2,F,2,0.10250000000000001,0.09912113800799505
153,AtMLO2,F,3,0.065,0.05802298395176403
154,AtMLO2,F,4,0.01,0.011547005383792516
155,AtMLO2,F,5,0.0525,0.06701989754294367
156,AtMLO2,F,6,0.27749999999999997,0.39347808071098445
157,AtMLO2,G,1,0.4425,0.6585527060658597
158,AtMLO2,G,2,0.85,0.2581988897471611
159,AtMLO2,G,3,0.78,0.6122091146005587
160,AtMLO2,G,4,0.8525,0.629093262826215
161,AtMLO2,G,5,1.3375,0.16152915113584504
162,AtMLO2,G,6,0.8033333333333333,0.7159841711471933
163,AtMLO2,H,1,0.1575,0.10719919153924001
164,AtMLO2,H,2,0.135,0.1307669683062202
165,AtMLO2,H,3,0.13,0.09695359714832658
166,AtMLO2,H,4,0.135,0.11704699910719625
167,AtMLO2,H,5,0.3675,0.16459546368799677
168,AtMLO2,H,6,0.41000000000000003,0.25845695966640175
169,AtMLO2,I,1,0.34,0.3045214825481666
170,AtMLO2,I,2,0.17,0.14491376746189438
171,AtMLO2,I,3,0.125,0.14153915830374764
172,AtMLO2,I,4,0.13999999999999999,0.09055385138137416
173,AtMLO2,I,5,0.5425,0.4198710119389843
174,AtMLO2,I,6,0.09,0.1407124727947029
175,AtMLO2,J,1,0.275,0.173685539601507
176,AtMLO2,J,2,0.3325,0.2876774814498579
177,AtMLO2,J,3,0.1525,0.15649813630413198
178,AtMLO2,J,4,0.27,0.147648230602334
179,AtMLO2,J,5,0.305,0.34780262602037193
180,AtMLO2,J,6,0.6375,0.6574889099191459
181,AtMLO3,A,1,0.1075,0.13889444433333778
182,AtMLO3,A,2,0.08499999999999999,0.1327905619136139
183,AtMLO3,A,3,0.0675,0.08381527307120105
184,AtMLO3,A,4,0.05,0.035590260840104374
185,AtMLO3,A,5,0.04666666666666667,0.07234178138070235
186,AtMLO3,A,6,0.04,0.042426406871192854
187,AtMLO3,B,1,0.065,0.07895146188218007
188,AtMLO3,B,2,0.20666666666666667,0.23713568549109879
189,AtMLO3,B,3,0.1275,0.16520189667999174
190,AtMLO3,B,4,0.0625,0.03774917217635375
191,AtMLO3,B,5,0.1125,0.10045728777279758
192,AtMLO3,B,6,0.055,0.03872983346207417
193,AtMLO3,C,1,0.0225,0.045
194,AtMLO3,C,2,0.18666666666666665,0.25716402029314545
195,AtMLO3,C,3,0.04,0.05228129047119374
196,AtMLO3,C,4,0.05,0.01825741858350554
197,AtMLO3,C,5,0.0625,0.04856267428111155
198,AtMLO3,C,6,0.145,0.21687169786150826
199,AtMLO3,D,1,0.1325,0.1105667219374799
200,AtMLO3,D,2,0.05333333333333334,0.046188021535170064
201,AtMLO3,D,3,0.25,0.26795522013948525
202,AtMLO3,D,4,0.0475,0.06601767440112787
203,AtMLO3,D,5,0.0425,0.049916597106239795
204,AtMLO3,D,6,0.1225,0.06849574196011506
205,AtMLO3,E,1,0.16,0.1298717315918544
206,AtMLO3,E,2,0.1366666666666667,0.12503332889007368
207,AtMLO3,E,3,0.025,0.030000000000000002
208,AtMLO3,E,4,0.035,0.026457513110645904
209,AtMLO3,E,5,0.0775,0.04924428900898052
210,AtMLO3,E,6,0.13749999999999998,0.18625699092025153
211,AtMLO3,F,1,0.06,0.08485281374238571
212,AtMLO3,F,2,0.1475,0.1330100246848585
213,AtMLO3,F,3,0.035,0.04203173404306164
214,AtMLO3,F,4,0.057499999999999996,0.065
215,AtMLO3,F,5,0.045,0.0714142842854285
216,AtMLO3,F,6,0.0225,0.038622100754188225
217,AtMLO3,G,1,0.53,0.2758018612458347
218,AtMLO3,G,2,0.6799999999999999,0.19313207915827965
219,AtMLO3,G,3,0.9825,0.49661353183335627
220,AtMLO3,G,4,0.82,0.32629230249374047
221,AtMLO3,G,5,0.56,0.4028647415696737
222,AtMLO3,G,6,0.275,0.15758595538097084
223,AtMLO3,H,1,0.13,0.10230672835481872
224,AtMLO3,H,2,0.08,0.07810249675906655
225,AtMLO3,H,3,0.36,0.19612920911140866
