ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1,AtMLO2,AtEXO70A1,0.12,1,1,21298.6,21.76,978.94,918.85,0.12,AtMLO2-AtCAM2,H,A,0.22
2,AtMLO2,AtEXO70A1,0.02,1,2,4696.2,21.76,215.85,186.24,0.02,AtMLO2-AtCAM2,H,A,0.22
3,AtMLO2,AtEXO70A1,0.14,1,3,32490.25,62.98,515.88,495.56,0.14,AtMLO2-AtCAM2,H,A,0.22
4,AtMLO2,AtEXO70A1,0,1,4,580.86,46.19,12.58,11.39,0,AtMLO2-AtCAM2,H,A,0.22
5,AtMLO2,AtEXO70A1,0,2,1,13800,43.64,316.2,-12.15,0,AtMLO2-AtCAM2,H,A,0.22
6,AtMLO2,AtEXO70A1,0.02,2,2,-1266.69,59.51,-21.28,439.14,0.02,AtMLO2-AtCAM2,H,A,0.22
7,AtMLO2,AtEXO70A1,-0.01,2,3,-23085.36,43.64,-528.95,-43.89,-0.01,AtMLO2-AtCAM2,H,A,0.22
8,AtMLO2,AtEXO70A1,0.03,2,4,-4244.86,43.64,-97.26,79.43,0.03,AtMLO2-AtCAM2,H,A,0.22
9,AtMLO2,AtEXO70A1,0,3,1,-19170.43,63.45,-302.14,-18.76,0,AtMLO2-AtCAM2,H,A,0.22
10,AtMLO2,AtEXO70A1,0.16,3,2,15880.6,29.89,531.31,543.37,0.16,AtMLO2-AtCAM2,H,A,0.22
11,AtMLO2,AtEXO70A1,0.22,3,3,9622.36,63.45,151.65,500.39,0.22,AtMLO2-AtCAM2,H,A,0.22
12,AtMLO2,AtEXO70A1,0,3,4,9485.44,86.52,109.63,-13.11,0,AtMLO2-AtCAM2,H,A,0.22
13,AtMLO2,AtEXO70A1,0.01,4,1,21088,65.99,319.55,258.65,0.01,AtMLO2-AtCAM2,H,A,0.22
14,AtMLO2,AtEXO70A1,0,4,2,-7009,65.99,-106.21,-1.54,0,AtMLO2-AtCAM2,H,A,0.22
15,AtMLO2,AtEXO70A1,0.13,4,3,-6291.75,44.18,-142.42,368.09,0.13,AtMLO2-AtCAM2,H,A,0.22
